sentiment,topic,emotion,intensity,reasoning,true_label,text
0,演技,愤怒,4,批评Aishwarya Rai的表演和选角问题,1,"I concur with what mallicka.b has said. The movie is portrayed in a way which appears to be a kind of vilification on the original content. Emotions aren't conveyed properly. I guess a couple of not-so-good performances also contributed to its mediocrity. In my view, Tabu would have been a much better choice for such a role instead of Aishwarya Rai. In some of her scenes, she looks a bit lusty, which is not ultimately what the movie should have portrayed. I also noticed a bit of over-acting in some of her scenes. I'm a bitter critic of Aishwarya Rai :) Can't help it; sorry for that. 'Raincoat' was a good movie by Rituparno Ghosh. And I saw Choker Bali after seeing Raincoat; I was not at all impressed."
1,演技,惊喜,4,评论者对演员表现超出预期感到惊喜,1,"True, it does not follow the book very closely, but it's still a very entertaining take on the story. Swayze was far better in the role than I expected. And Doody avoided the ""silly woman out of her depth in the wilderness"" portrayal most of us probably expected (cf. Kate Capshaw in ""Indiana Jones & the Temple of Doom"").<br /><br />At any rate, it's amazingly better than Richard Chamberlain's awful pair of Quatermain flicks.<br /><br />It is very reminiscent of a western in many ways. About the only thing I didn't care for was all the mysticism, but I guess that is part and parcel of the genre. Like ""how can you have an African adventure story without witch doctresses and preternaturally wise wandering tribesmen?"" Heh."
1,剧情,喜悦,4,评论者高度赞扬剧情和演员表现，表示会重复观看,1,myself and 2 sisters watched all 3 series of Tenko and agree this is by far one of the BBC better series.The whole cast were very convincing in the parts they portrayed and although the 3rd series was somewhat slower it was compelling viewing and my evenings wont be the same without it.No doubt we will be watching it again as it is a series which I would never get sick of watching.Excellent viewing and full marks to the BBC for such a brilliant series and the casting.First rate in all departments and would recommend this series to anyone although some age limits must be considered because of some adult material.So grateful to the BBC for releasing this series on DVD and Video.
0,剧情,失望,3,评论者对剧情中的某些部分感到失望，尤其是Lana的情节,0,"""Nicodemus"" is almost a copy of ""Red"" in the odd behavior sense, but this episode focuses on other people in Clark Kent's unpredictable life. When a poisonous flower finds it's way into Smallville Jonathan Kent is the first to be effected by it. the flower causes people to reverse their behavior and when it effects Jonathan, he becomes short tempered and violent, however Clark manages to stop him from doing anything rash until his father finally passes out. okay. so far, so good. next up is Lana. the Episode was good up to that point, for the flower causes her to attempt seducing Clark. at the last moment, he refuses her but the damage has already been done. this episode causes the wrong impressions and isn't suitable for people under the age of twenty, due to it's adult content. the first part was good, the last part (focusing on the effect the flower has on Pete) was good, but the middle that was all about Lana's alternate personality, was most defiantly not, and that ruined what could have been a brilliant Episode. I give this Episode two."
1,剧情,感动,4,评论者高度赞扬电影的准确性和情感共鸣,1,"I have seen this movie and anybody who has every been with the Marines or any branch of the service can appreciate the accuracy of this movie. It is a must have for any collection. Jack Webb does an excellent job as the hard drill instructor. My father went to Marine boot camp at Camp Penelton and says this movie is so accurate that he feels like he is back in basic training. There is a line in the movie where Jack Webbs character gets mad at a boot for killing a sand flea. Well let me tel you there are nothing but sand fleas at the camp. I have been there and can appreciate it. As a matter of fact the exit to the camp is Las Puljas which in English means city of the fleas. you must watch the movie to appreciate what I am saying. Anybody who is into WWII movies, all the battles start right here with the drill Sgt. A must have for you collection"
0,表演,愤怒,4,评论者认为表演做作且缺乏幽默感,0,"Film version of Sandra Bernhard's one-woman off-Broadway show is gaspingly pretentious. Sandra spoofs lounge acts and superstars, but her sense of irony is only fitfully interesting, and fitfully funny. Her fans will say she's scathingly honest, and that may be true. But she's also shrill, with an unapologetic, in-your-face bravado that isn't well-suited to a film in this genre. She doesn't want to make nice--and she's certainly not out to make friends--and that's always going to rub a lot of people the wrong way. But even if you meet her halfway, her material here is seriously lacking. Filmmaker Nicolas Roeg served as executive producer and, though not directed by him, the film does have his chilly, detached signature style all over it. Bernhard co-wrote the show with director John Boskovich; their oddest touch was in having all of Sandra's in-house audiences looking completely bored--a feeling many real viewers will most likely share. *1/2 from ****"
1,剧情,喜悦,4,评论者对电影剧情和演员表现非常满意，情感积极且强烈。,1,"One of my favorite movies. I like horses, I like happy endings, and I like Walter Matthau. I miss him and am glad to have a great film like this to remind me why he was so wonderful. Watch it with your kids (or your horse).<br /><br />The story of an old hard boot horse trainer with kids, and down on his luck. If you have ever had or appreciated horse racing you will appreciate the rags to riches storyline. It may be a little below ""Seabiscuit"", but not a lot. The story is the same one, except it is the quarter horse version. Well acted, correct racing terms and equipment, and nice racing scenes. Don't take my word for it, get it and make up your own mind."
1,剧情,惊喜,4,评论者原本不喜欢导演的其他作品，但对此片感到惊喜,1,"I saw part of this film on the Sci-Fi Channel, but missed the ending. I bought the DVD to see the whole movie, and I'm glad I did.<br /><br />A young mother and her two daughters move into a house out in a backwoods area that they inherited from the husband, who died from an illness. It's very run down, but the three women make the best of it. The teen daughter (Scout Taylor-Compton) is warned by a local boy about the zombies that come out at night. She ignores him, but since he has a cute friend, she joins his group. Meanwhile, the younger daughter (Chloe Grace Moretz) makes a friend in a zombie girl her age named Mary. It turns out that Mary and several other kids died in a mine in 1913 while working as child labor. Now that they are zombies, they attack and kill anyone who's not a blood relative. <br /><br />This movie was directed by J.S. Cardone, whose previous films include The Slayer (1981) and Shadowzone (1990), two movies I didn't like in the slightest bit. This is why I was surprised that I actually enjoyed this movie. The film is deliberately paced, which I liked. This allows you to get to know the main characters, most of whom are likable. Child zombies have been used at least since George Romero's 1968 classic Night Of The Living Dead. Still, I found the tool-using child zombies in this movie interesting. It would seem that Cardone finally found the right script and cast. Only the stereotypical scenes of the teens smoking, drinking and making out in a parked car were boring to me.<br /><br />Taylor-Compton also appears in the Halloween remake. Moretz appeared in The Amityville Horror (2005) and the horror film Room 6 (2006)."
1,剧情,惊喜,4,评论者最初感到无聊，但最终对电影感到非常满意,1,"My wife is a teacher and she is very familiar with the story, having read it to several of her classes. It never sounded all that interesting to me, though, and I bought the DVD figuring this would be a movie that wouldn't really be up my alley.<br /><br />The first half of the movie has a lot of set-up and I found myself thinking that I was right. It starts off a bit slow and I have to admit that I was a little bit bored - but curious enough to stay with it. Boy, am I glad I did because this ended up being a very satisfying and rewarding movie. I would most certainly watch this again!<br /><br />The casting was very good. Since I haven't read the book, I can't vouch for accuracy, but I have to say that Jon Voight was truly delightful. You liked the characters you were supposed to like, hated the ones you were supposed to hate, and laughed at the ones that were supposed to be funny.<br /><br />I can see how some folks might not like this movie. It is tedious at times, especially in the beginning. All the flashbacks can be distracting (though they are essential to the story). Once the story starts to come together at the end, though, I think you're paid back in spades for your patience. When all is said and done, I think this is a very good movie - 8/10.<br /><br />"
1,剧情,感动,4,评论者被电影的宁静、价值观和勇敢的生活哲学深深打动,1,"I saw this film without to know what about were... I'm a fan of Branagh, even more his Shakespeare' films, and, in the beginning, I saw it only for this... and I finished with tears in my eyes, because the great, great serenity, values, affect and brave philosophy about Life of Helena's girl. Recommended to people who are bored with TV programming (in Spain, at least)."
