model,pos_correlation,neg_correlation,compound_correlation
naive_bayes,0.043070672145463965,-0.07693287644709726,0.4221102875338778
logistic_regression_bow,0.004897078412734449,-0.12305388967527016,0.4493778334973828
logistic_regression_tfidf,-0.017773666241721033,-0.14458534747472962,0.47407483643374543
chi2_top200,-0.03215081841258967,-0.157071546395803,0.45698676434788077
chi2_top2000,-0.003191724626134801,-0.13399037670775624,0.46222689469405026
mi_top200,-0.03903945524908745,-0.16238346124270822,0.45543826594068026
mi_top2000,-0.0035322315197485617,-0.13403275852226165,0.46629678470407
custom_features,0.1279973873774185,0.004640706044589089,0.4155839010451721
custom_features_2,-0.04403505291732848,-0.1676699912290971,0.4123656532571747
llm_simple,0.04790100678130495,0.05923323080373044,0.0731028797616208
llm_few_shot,0.05340302036507585,0.0698296719873181,0.04570229077263283
llm_cot,0.046851910417282774,0.06668342412679515,-0.023763541654294743
